S.No.,Local Body Code,Local Body Version,Local Body Name      (In English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Parent Local Body Code,
10957,151841,1,KALOTHARA,??????,3,Village Panchayat,4381,
10958,148595,1,KALPA,??????,3,Village Panchayat,4340,
10959,132669,1,KALPATHRI,???????,3,Village Panchayat,4114,
10960,142729,1,KALPI,KALPI,3,Village Panchayat,4264,
10961,146019,2,KALPONI,KALPONI,3,Village Panchayat,4308,
10962,152876,1,KALRA,KALRA,3,Village Panchayat,4393,
10963,147546,1,KALRAHO,??????,3,Village Panchayat,4326,
10964,137413,1,KALSADA BUJURG,?????? ???????,3,Village Panchayat,4182,
10965,137414,1,KALSADA KHURD,?????? ?????,3,Village Panchayat,4182,
10966,153301,1,KALSI,,3,Village Panchayat,4398,
10967,146302,1,KALSIYA,??????,3,Village Panchayat,4311,
10968,153203,1,KALUHEDA,,3,Village Panchayat,4397,
10969,146131,1,KALUKHEDA,KALUKHEDA,3,Village Panchayat,4309,
10970,146517,2,KALUKHEDA,????????,3,Village Panchayat,4314,
10971,153204,1,KALUKHEDI,,3,Village Panchayat,4397,
10972,136395,1,KALUWA,??????,3,Village Panchayat,4169,
10973,141610,1,KALUWAT,KALUWAT,3,Village Panchayat,4247,
10974,149277,1,KALWANA,??????,3,Village Panchayat,4348,
10975,137624,2,KALWANI,??????,3,Village Panchayat,4186,
10976,136965,2,KALWAR,?????,3,Village Panchayat,4175,
10977,147459,1,KALWARI,??????,3,Village Panchayat,4325,
10978,139559,1,KALYAKHEDI,??????????,3,Village Panchayat,4216,
10979,142242,1,KALYAKHEDI,???????????,3,Village Panchayat,4256,
10980,150590,2,KALYAKHEDI,???????????,3,Village Panchayat,4364,
10981,133396,1,KALYANAPUR,?????????,3,Village Panchayat,4126,
10982,139289,1,KALYANI,???????,3,Village Panchayat,4212,
10983,131621,1,KALYANPUR,KALYANPUR,3,Village Panchayat,4100,
10984,140547,1,KALYANPUR,?????????,3,Village Panchayat,4230,
10985,144089,1,KALYANPUR,??????????,3,Village Panchayat,4284,
10986,144407,1,KALYANPUR,?????????,3,Village Panchayat,4288,
10987,144778,1,KALYANPUR,??????????,3,Village Panchayat,4293,
10988,145261,1,KALYANPUR,?????????,3,Village Panchayat,4299,
10989,148398,1,KALYANPUR,?????????,3,Village Panchayat,4338,
10990,149502,1,KALYANPUR,KALYANPUR,3,Village Panchayat,4350,
10991,150458,1,KALYANPUR,KALYANPUR,3,Village Panchayat,4362,
10992,146920,1,KALYANPUR-55,??????????,3,Village Panchayat,4319,
10993,132856,1,KALYANPURA,??????????,3,Village Panchayat,4117,
10994,141090,1,KALYANPURA,??????????,3,Village Panchayat,4238,
10995,153113,1,KALYANPURA,,3,Village Panchayat,4396,
10996,134001,1,KALYAN PURA,KALYAN PURA,3,Village Panchayat,4136,
10997,134150,1,KALYAN PURA,??????????,3,Village Panchayat,4138,
10998,149041,1,KALYAN PURA,???????????,3,Village Panchayat,4345,
10999,152551,1,KAM,???,3,Village Panchayat,4389,
11000,152120,1,KAMACHH,???,3,Village Panchayat,4384,
11001,136553,1,KAMAD,????,3,Village Panchayat,4171,
11002,140315,1,KAMADPUR,??????,3,Village Panchayat,4227,
11003,133842,1,KAMAI,???,3,Village Panchayat,4134,
11004,150661,1,KAMALPUR,???????,3,Village Panchayat,4365,
11005,151450,1,KAMALPUR,???????,3,Village Panchayat,4376,
11006,146132,1,KAMALSARA,KAMALSARA,3,Village Panchayat,4309,
11007,153428,2,KAMALYAKHEDI,,3,Village Panchayat,4399,
11008,152331,1,KAMARJI,??????,3,Village Panchayat,4387,
11009,146586,1,KAMED,????,3,Village Panchayat,4315,
11010,153209,1,KAMED,,3,Village Panchayat,4397,
11011,150740,1,KAMERDIPUR,????????,3,Village Panchayat,4366,
11012,150040,1,KAMKASUR,???????,3,Village Panchayat,4357,
11013,137989,1,KAMKOMOHANIYA,???????????,3,Village Panchayat,4192,
11014,146514,1,KAMLAKHEDA,????????,3,Village Panchayat,4314,
11015,136764,1,KAMLAPUR,KAMLAPUR,3,Village Panchayat,4173,
11016,136454,1,KAMLAPURI,????????,3,Village Panchayat,4170,
11017,143305,1,KAMLIYA,???????,3,Village Panchayat,4274,
11018,146452,1,KAMLIYA,???????,3,Village Panchayat,4313,
11019,150957,1,KAMLIYA,??????,3,Village Panchayat,4369,
11020,133516,3,KAMOD,?????,3,Village Panchayat,4128,
11021,144248,1,KAMOD,????,3,Village Panchayat,4286,
11022,133128,1,KAMOD (CH.),????? (??.),3,Village Panchayat,4122,
11023,133129,1,KAMOD (DHA.),????? (?.),3,Village Panchayat,4122,
11024,133130,1,KAMODWADA,????????,3,Village Panchayat,4122,
11025,142366,1,KAMODWADA,?????????,3,Village Panchayat,4258,
