Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
276401,North Delhi Municipal Corporation,1289947,098-N,WEST PATEL NAGAR,
276402,South Delhi Municipal Corporation,1290027,074-S,DAKSHIN PURI EXTENSION,
276401,North Delhi Municipal Corporation,1289938,089-N,QURAISH NAGAR,
276401,North Delhi Municipal Corporation,1289892,043-N,PREM NAGAR,
276402,South Delhi Municipal Corporation,1289995,042-S,DICHAON KALAN,
276401,North Delhi Municipal Corporation,1289939,090-N,BALLIMARAN,
276401,North Delhi Municipal Corporation,1289935,086-N,AJMERI GATE,
276402,South Delhi Municipal Corporation,1289992,039-S,CHHAWLA,
276401,North Delhi Municipal Corporation,1289902,053-N,ROHINI-E,
276402,South Delhi Municipal Corporation,1290003,050-S,MAHIPALPUR,
276402,South Delhi Municipal Corporation,1289963,010-S,HARI NAGAR-A,
276400,East Delhi Municipal Corporation,1289804,019-E,I.P. EXTENSION,
276401,North Delhi Municipal Corporation,1289860,011-N,MUKUNDPUR,
276402,South Delhi Municipal Corporation,1289993,040-S,GHUMAN HERA,
276400,East Delhi Municipal Corporation,1289791,006-E,GHAROLI,
276400,East Delhi Municipal Corporation,1289811,026-E,KANTI NAGAR,
276401,North Delhi Municipal Corporation,1289895,046-N,MANGOLPURI-D,
276400,East Delhi Municipal Corporation,1289834,049-E,KARDAM PURI,
276401,North Delhi Municipal Corporation,1289910,061-N,HAIDERPUR,
276402,South Delhi Municipal Corporation,1289966,013-S,TILAK NAGAR,
276402,South Delhi Municipal Corporation,1289971,018-S,MILAP NAGAR,
276401,North Delhi Municipal Corporation,1289856,007-N,BURARI,
276402,South Delhi Municipal Corporation,1290044,091-S,GOVIND PURI,
276400,East Delhi Municipal Corporation,1289849,064-E,SRI RAM COLONY,
276401,North Delhi Municipal Corporation,1289946,097-N,BALJIT NAGAR,
276401,North Delhi Municipal Corporation,1289890,041-N,AMAN VIHAR,
276402,South Delhi Municipal Corporation,1289989,036-S,DWARKA - A,
276403,Delhi Cantonment Board,1293210,2,Ward No. 2,
276401,North Delhi Municipal Corporation,1289893,044-N,MUBARAK PUR DABAS,
276401,North Delhi Municipal Corporation,1289870,021-N,JAHANGIR PURI,
276401,North Delhi Municipal Corporation,1289930,081-N,KISHAN GANJ,
276402,South Delhi Municipal Corporation,1290018,065-S,R.K. PURAM,
276402,South Delhi Municipal Corporation,1289960,007-S,VISHNU GARDEN,
276400,East Delhi Municipal Corporation,1289846,061-E,KARAWAL NAGAR-WEST,
276401,North Delhi Municipal Corporation,1289942,093-N,PAHAR GANJ,
276401,North Delhi Municipal Corporation,1289948,099-N,KARAMPURA,
276402,South Delhi Municipal Corporation,1289991,038-S,DWARKA-B,
276400,East Delhi Municipal Corporation,1289817,032-E,NAND NAGRI,
276401,North Delhi Municipal Corporation,1289918,069-N,SHAKUR PUR,
276401,North Delhi Municipal Corporation,1289915,066-N,RANI BAGH,
276401,North Delhi Municipal Corporation,1289937,088-N,DELHI GATE,
276402,South Delhi Municipal Corporation,1290015,062-S,HAUZ KHAS,
276401,North Delhi Municipal Corporation,1289920,071-N,TRI NAGAR,
276402,South Delhi Municipal Corporation,1290008,055-S,DARYAGANJ,
276401,North Delhi Municipal Corporation,1289917,068-N,KOHAT ENCLAVE,
276403,Delhi Cantonment Board,1293216,8,Ward No. 8,
276400,East Delhi Municipal Corporation,1289815,030-E,JHILMIL,
276402,South Delhi Municipal Corporation,1289976,023-S,VIKAS NAGAR,
276402,South Delhi Municipal Corporation,1290041,088-S,CHIRAG DELHI,
276400,East Delhi Municipal Corporation,1289792,007-E,KONDLI,
276401,North Delhi Municipal Corporation,1289932,083-N,CIVIL LINES,
276402,South Delhi Municipal Corporation,1289982,029-S,BINDAPUR,
276402,South Delhi Municipal Corporation,1290012,059-S,ANDREWS GANJ,
276401,North Delhi Municipal Corporation,1289933,084-N,CHANDNI CHOWK,
276402,South Delhi Municipal Corporation,1290028,075-S,TIGRI,
276400,East Delhi Municipal Corporation,1289794,009-E,MANDAWALI,
276400,East Delhi Municipal Corporation,1289840,055-E,HARSH VIHAR,
276401,North Delhi Municipal Corporation,1289898,049-N,NANGLOI JAT,
276401,North Delhi Municipal Corporation,1289897,048-N,SULTANPURI-C,
276402,South Delhi Municipal Corporation,1290033,080-S,PUSHP VIHAR,
276402,South Delhi Municipal Corporation,1289961,008-S,KHYALA,
276402,South Delhi Municipal Corporation,1290004,051-S,MADHU VIHAR,
276401,North Delhi Municipal Corporation,1289853,004-N,HOLAMBI KHURD,
276402,South Delhi Municipal Corporation,1289954,001-S,MADIPUR,
276401,North Delhi Municipal Corporation,1289865,016-N,SARAI PIPAL THALA,
276401,North Delhi Municipal Corporation,1289911,062-N,SHALIMAR BAGH -NORTH,
276402,South Delhi Municipal Corporation,1290042,089-S,SRI NIWAS PURI,
276402,South Delhi Municipal Corporation,1290002,049-S,KAPASHERA,
276400,East Delhi Municipal Corporation,1289807,022-E,ANARKALI,
276401,North Delhi Municipal Corporation,1289863,014-N,G.T.B. NAGAR,
276401,North Delhi Municipal Corporation,1289862,013-N,MALKA GANJ,
276402,South Delhi Municipal Corporation,1290022,069-S,VASANT KUNJ,
276400,East Delhi Municipal Corporation,1289824,039-E,WELCOME COLONY,
276402,South Delhi Municipal Corporation,1290013,060-S,KOTLA MUBARAKPUR,
276401,North Delhi Municipal Corporation,1289872,023-N,SAMAYPUR BADLI,
276402,South Delhi Municipal Corporation,1289958,005-S,RAJOURI GARDEN,
276403,Delhi Cantonment Board,1293215,7,Ward No. 7,
276400,East Delhi Municipal Corporation,1289796,011-E,MAYUR VIHAR PHASE-II,
276401,North Delhi Municipal Corporation,1289886,037-N,NANGLOI,
276402,South Delhi Municipal Corporation,1289987,034-S,NANGLI SAKRAWATI,
276400,East Delhi Municipal Corporation,1289837,052-E,JOHARIPUR,
276400,East Delhi Municipal Corporation,1289802,017-E,VISHWAS NAGAR,
276400,East Delhi Municipal Corporation,1289806,021-E,KRISHNA NAGAR,
