Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
253202,Kiphire Town Council,2297413,10,Kiphire Town (TC) - Ward No. 10 LONGYA COLONY WARD,
276219,Bhandari Town Council,1269684,7,Bhandari Town (TC) - Ward No.7 ETSU/GHSS WARD,
253206,Tuli Town,2297465,4,Tuli Town (TC) - Ward No.4 AITLENDEN WARD,
276217,East Dimapur Town Council,1269703,8,East Dimapur (TC) - Ward No.8 NAHARBARI UNITY WARD,
276217,East Dimapur Town Council,1269701,6,East Dimapur (TC) - Ward No.6 HIGH SCHOOL WARD,
249722,Kohima,695122,2,BAYAVU COLONY WARD,
249715,Mon Town Council,15568,5,Mon Town (TC) - Ward No.5 WAGIEM WARD,
253207,Changtongya Town,2297390,7,Changtongya Town (TC) - Ward No. 7 MEDICAL WARD,
276220,Chozuba Town Council,1269692,6,Chozuba Town (TC) - Ward No.6 THOZHE WARD,
249715,Mon Town Council,6276,9,Mon Town (TC) - Ward No. 9 SHANTHAM WARD,
249719,Wokha Town Council,72993,7,Wokha (TC) - Ward No.7 TSUMANG WARD,
249715,Mon Town Council,6277,10,Mon Town (TC) - Ward No.10 TOMPANG WARD,
249722,Kohima,695126,6,D. BLOCK WARD,
253213,Medziphema Town Council,2297418,4,Medziphema Town (TC) - Ward No. 4 MERIZIE WARD,
249723,Phek,11824,7,Phek (TC) - Ward No.7 BETHANY-I,
276223,Noklak Town Council,1269718,3,Noklak Town (TC) - Ward No.3 HIGH SCHOOL SECTOR-B WARD,
276224,Pungro Town Council,1269729,5,Pungro Town (TC) - Ward No.5 MISSION WARD,
276222,Meluri Town Council,1269778,7,Meluri Town (TC) - Ward No.7 MATHOHO WARD,
249723,Phek,11821,4,Phek (TC) - Ward No.4 NEW COLONY,
276222,Meluri Town Council,1269773,2,Meluri Town (TC) - Ward No.2 MULUOLE- II WARD,
253206,Tuli Town,2297467,6,Tuli Town (TC) - Ward No.6 MENDENTI WARD,
249722,Kohima,695134,14,PORTERLANE WARD,
276226,Tening Town Council,1269756,3,Tening Town (TC) - Ward No.3 CHEBUNG NPAI WARD,
276219,Bhandari Town Council,1269685,8,Bhandari Town (TC) - Ward No.8 TSUMANG WARD,
249720,Dimapur Municipal Council,15615,8,Dimapur (TC) - Ward No.8,
276224,Pungro Town Council,1269730,6,Pungro Town (TC) - Ward No.6 MEDICAL WARD,
249716,Tuensang Town Council,15574,5,Tuensang (TC) - Ward No.5 HIGH SCHOOL B WARD,
253213,Medziphema Town Council,2297423,9,Medziphema Town (TC) - Ward No. 9 SEPROLIEZIE WARD,
276228,Tobu Town Council,1269746,2,Tobu Town (TC) - Ward No.2 LOWER HIGH SCHOOL WARD,
253207,Changtongya Town,2297388,5,Changtongya Town (TC) - Ward No. 5 SUNRISE - I WARD,
249720,Dimapur Municipal Council,15617,10,Dimapur (TC) - Ward No.10,
249722,Kohima,695137,17,AGRI/FOREST/ELECTRICAL COLONY WARD,
276224,Pungro Town Council,1269731,7,Pungro Town (TC) - Ward No.7 TSUVONG WARD,
249720,Dimapur Municipal Council,15609,2,Dimapur (TC) - Ward No.2,
253213,Medziphema Town Council,2297416,2,Medziphema Town (TC) - Ward No. 2 BEILIE-U-ZIE WARD,
249715,Mon Town Council,15567,4,Mon Town (TC) - Ward No.4 TANLAO WARD,
249721,Chumukedima Town Council,71571,8,Chumukedima (CT) - Ward No.8 SEIRU WARD,
253209,Tseminyu Town,2297453,1,Tseminyu Town (TC) - Ward No.1 TSOKHINSI WARD,
249720,Dimapur Municipal Council,15623,16,Dimapur (TC) - Ward No.16,
276220,Chozuba Town Council,1269690,4,Chozuba Town (TC) - Ward No.4 CHOZU WARD,
276227,Tizit Town Council,1269665,6,Tizit Town (TC) - Ward No.6 FOREST WARD,
249719,Wokha Town Council,71552,14,Wokha (TC) - Ward No.14 VUNGOTCHU (MEDICAL/JAIL) WARD,
249718,Zunheboto,6341,13,Zunheboto (TC) - Ward No.13 AMIPHOTO WARD,
253202,Kiphire Town Council,2297404,1,Kiphire Town (TC) - Ward No. 1 D.C. COLONY WARD,
276219,Bhandari Town Council,1269680,3,Bhandari Town (TC) - Ward No.3 CHANKA WARD,
249722,Kohima,695128,8,NEW MARKET WARD,
276221,Mangkolemba Town Council,1269711,5,Mangkolemba Town (TC) - Ward No.5 TZULUMANG WARD,
276222,Meluri Town Council,1269772,1,Meluri Town (TC) - Ward No.1 MULUOLE- I WARD,
253205,Jalukie Town Council,2297398,4,Jalukie Town (TC) - Ward No. 4 OLD MARKET COLONY WARD,
249718,Zunheboto,6339,11,Zunheboto (TC) - Ward No.11 SOUTH POINT EAST WARD,
253210,Pfutsero Town,2297448,7,Pfutsero Town (TC) - Ward No.7 REKU COLONY WARD,
249718,Zunheboto,15605,8,Zunheboto (TC) - Ward No.8 PROJECT WEST WARD,
253202,Kiphire Town Council,2297406,3,Kiphire Town (TC) - Ward No. 3 POWER HOUSE COLONY WARD,
249717,Mokokchung,15590,8,Mokokchung (TC) - Ward No.8 KICHUTEP WARD,
276224,Pungro Town Council,1269726,2,Pungro Town (TC) - Ward No.2 OFFICERS WARD,
276216,ABOI TOWN COUNCIL,1269671,3,Aboi Town (TC) - Ward No.3 ABOI YANG WARD,
276227,Tizit Town Council,1269666,7,Tizit Town (TC) - Ward No.7 MEDICAL WARD,
249720,Dimapur Municipal Council,15618,11,Dimapur (TC) - Ward No.11,
276226,Tening Town Council,1269757,4,Tening Town (TC) - Ward No.4 BUIRENG CHIAK WARD,
253205,Jalukie Town Council,2297401,7,Jalukie Town (TC) - Ward No. 7 STADIUM COLONY WARD,
253206,Tuli Town,2297466,5,Tuli Town (TC) - Ward No.5 TULIYONG WARD,
276225,Shamator Town Council,1269734,1,Shamator Town (TC) - Ward No.1 GHSS WARD,
253201,Longleng Town Council,2320557,9,Longleng town (TC) - Ward No.9 SHAMKANG WARD,
276227,Tizit Town Council,1269662,3,Tizit Town (TC) - Ward No.3 YANLEM WARD,
253201,Longleng Town Council,2320558,10,Longleng town (TC) - Ward No.10 MULI WARD,
249722,Kohima,695125,5,KITSUBOZOU WARD,
249716,Tuensang Town Council,15577,8,Tuensang (TC) - Ward No.8 BAZAR C WARD,
249716,Tuensang Town Council,15576,7,Tuensang (TC) - Ward No.7 BAZAR B WARD,
253207,Changtongya Town,2297391,8,Changtongya Town (TC) - Ward No. 8 P.W.D. WARD,
249723,Phek,11818,1,Phek (TC) - Ward No.1 BIBLE HILL,
249718,Zunheboto,15607,10,Zunheboto (TC) - Ward No.10 D.C. HILL WEST WARD,
249720,Dimapur Municipal Council,15611,4,Dimapur (TC) - Ward No.4,
276222,Meluri Town Council,1269777,6,Meluri Town (TC) - Ward No.6 RUWIE WARD,
249717,Mokokchung,15596,14,Mokokchung (TC) - Ward No.14 TONGDENTSUYONG WARD,
276226,Tening Town Council,1269761,8,Tening Town (TC) - Ward No.8 KEBAK KUANG LUANG WARD,
276217,East Dimapur Town Council,1269700,5,East Dimapur (TC) - Ward No.5 MOUNT VIEW WARD,
