Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name
249635,Jamalpur,59509,21,Jamalpur (M) - Ward No.21
249630,Bhagalpur,59464,25,Bhagalpur (M Corp.) - Ward No.25
249579,Madhubani,35704,6,Madhubani (M) - Ward No.6
249643,Hilsa,6352,20,Hilsa (NP) - Ward No.20
249592,Purnea,1299409,36,Purnia (M Corp.) - Ward No.36
265437,Parsa Bazar,1298927,20,Parsa (NP) - Ward No.20
249587,Araria,35778,2,Araria (M) - Ward No.2
249599,Saharsa,59357,3,Saharsa (M) - Ward No.3
249649,Khagaul,1298114,22,Khagaul (M) - Ward No.22
249568,Motihari,35620,20,Motihari (M) - Ward No.20
249666,Bhabua,59646,9,Bhabua (M) - Ward No.9
249581,Ghoghardiha,35728,1,Ghoghardiha (NP) - Ward No.1
249622,Rosera,36173,1,Rosera (NP) - Ward No.1
277127,Pakri Dayal,1298150,14,Pakridayal (NP) - Ward No.14
249625,Khagaria,36215,3,Khagaria (M) - Ward No.3
249684,Nawada,36872,13,Nawada (M) - Ward No.13
249586,Forbesganj,35761,1,Forbesganj (M) - Ward No.1
249574,Belsand,35646,1,Belsand (NP) - Ward No.1
249663,Piro,1298760,16,Piro (NP) - Ward No.16
249653,Fatuha,36484,3,Fatwah (M) - Ward No.3
249680,Gaya,59977,30,Gaya (M Corp.) - Ward No.30
249680,Gaya,1298805,47,Gaya (M Corp.) - Ward No.47
249651,Phulwari Sharif,1298579,23,Phulwari Sharif (M) - Ward No.23
249603,Muzaffarpur,71022,45,Muzaffarpur (M Corp.) - Ward No.45
277134,Kahalgaon,1299392,8,Kahalgaon (NP) - Ward No.8
249680,Gaya,59671,5,Gaya (M Corp.) - Ward No.5
249668,Bikramganj,1298721,27,Bikramganj (M) - Ward No.27
253281,ARWAL,1298850,17,Arwal (M) - Ward No.17
249612,Chapra,36073,26,Chapra (M Corp.) - Ward No.26
249568,Motihari,35615,15,Motihari (M) - Ward No.15
277103,Barbigha,1299276,6,Barbigha (M) - Ward No.6
249629,Sultanganj,36243,1,Sultanganj (NP) - Ward No.1
249603,Muzaffarpur,69157,33,Muzaffarpur (M Corp.) - Ward No.33
277103,Barbigha,1299272,2,Barbigha (M) - Ward No.2
249575,Sitamarhi,35683,28,Sitamarhi (M) - Ward No.28
249633,Banka,71201,19,Banka(M) - Ward No.19
265438,Ekma Bazar,1298376,18,Ekma Bazar (NP) - Ward No.18
249601,Motipur,3076,11,Motipur (NP) - Ward No.11
249574,Belsand,1299007,12,Belsand (NP) - Ward No.12
249592,Purnea,35858,8,Purnia (M Corp.) - Ward No.8
249650,Patna,36412,2,Patna (M Corp.) - Ward No.2
249641,Sheikhpura,1299259,16,Sheikhpura (M) - Ward No.16
249643,Hilsa,6350,18,Hilsa (NP) - Ward No.18
249688,Jhajha,1299319,16,Jhajha (NP) - Ward No.16
277103,Barbigha,1299274,4,Barbigha (M) - Ward No.4
249613,Marhaura,36081,2,Marhaura (NP) - Ward No.2
249619,Samastipur,36157,5,Samastipur (M) - Ward No.5
276642,Benipur,1298055,15,Benipur (M) - Ward No. 15
249670,Sasaram,1298164,28,Sasaram (M) - Ward No.28
249570,Areraj,1299085,11,Areraj (NP) - Ward No.11
249612,Chapra,36057,10,Chapra (M Corp.) - Ward No.10
249582,Nirmali,62537,5,Nirmali (NP) - Ward No.5
277136,Balia,1298338,9,Balia (NP) - Ward No.09
249614,Dighwara,1298899,16,Dighwara (NP) - Ward No.16
249585,Jogabani,1298105,17,Jogabani (NP) - Ward No.17
265437,Parsa Bazar,1298917,10,Parsa (NP) - Ward No.10
249570,Areraj,35625,2,Areraj (NP) - Ward No.2
277136,Balia,1298344,15,Balia (NP) - Ward No.15
249626,Gogri Jamalpur,36237,12,Gogri Jamalpur (NP) - Ward No.12
249653,Fatuha,1298615,25,Fatwah (M) - Ward No.25
249662,Jagdishpur,36653,9,Jagdishpur (NP) - Ward No.9
249595,Katihar,62553,2,Katihar (M Corp.) - Ward No.2
249652,Masaurhi,1298596,18,Masaurhi (M) - Ward No.18
249613,Marhaura,1298907,16,Marhaura (NP) - Ward No.16
249579,Madhubani,1299187,29,Madhubani (M) - Ward No.29
277098,Bakhtiyarpur,1298637,20,Bakhtiyarpur (M) - Ward No.20
249657,Mokama,36611,1,Mokameh (M) - Ward No.1
276405,KOCHAS,1298729,6,Kochas (NP) - Ward No.6
249597,Madhepura,35904,8,Madhepura (M) - Ward No.8
249612,Chapra,1298883,34,Chapra (M Corp.) - Ward No.34
249644,Islampur,59551,6,Islampur (NP) - Ward No.6
249602,Kanti,3069,11,Kanti (NP) - Ward No.11
249618,Mahnar,36144,7,Mahnar Bazar (M) - Ward No.7
249666,Bhabua,1298749,21,Bhabua (M) - Ward No.21
249665,Buxar,1298788,26,Buxar (M) - Ward No.26
249674,Daudnagar,1298084,19,Daudnagar (M) - Ward No.19
249649,Khagaul,36400,5,Khagaul (M) - Ward No.5
249651,Phulwari Sharif,1298576,20,Phulwari Sharif (M) - Ward No.20
249612,Chapra,36064,17,Chapra (M Corp.) - Ward No.17
249674,Daudnagar,59665,12,Daudnagar (M) - Ward No.12
249648,Danapur,59577,10,Danapur Nizamat (M) - Ward No.10
249562,Bagaha,35537,9,Bagaha (M) - Ward No.9
249665,Buxar,1298782,20,Buxar (M) - Ward No.20
249648,Danapur,1298554,26,Danapur Nizamat (M) - Ward No.26
