Local Body Code,Local Body Name,Local Body Type,District Level Parent Name,Intermediate Level Parent Name,Ward Code,Ward Number,Ward Name,Ward Name (In Local),
234474,RAMNAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452258,8,Ramnagar-8,
234472,R.K. GRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452259,1,Ramakrishnagram-1,
234472,R.K. GRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452260,2,Ramakrishnagram-2,
234472,R.K. GRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452261,3,Ramakrishnagram-3,
234472,R.K. GRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452262,4,Ramakrishnagram-4,
234472,R.K. GRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452263,5,Ramakrishnagram-5,
234472,R.K. GRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452264,6,Ramakrishnagram-6,
234472,R.K. GRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452265,7,Ramakrishnagram-7,
234472,R.K. GRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452266,8,Ramakrishnagram-8,
234475,SHIBPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452267,1,Shibpur-1,
234475,SHIBPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452268,2,Shibpur-2,
234475,SHIBPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452269,3,Shibpur-3,
234475,SHIBPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452270,4,Kalipur-1,
234475,SHIBPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452271,5,Kalipur-2,
234475,SHIBPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452272,6,Durgapur-1,
234475,SHIBPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452273,7,Durgapur-2,
234475,SHIBPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452274,8,Durgapur-3,
234475,SHIBPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452275,10,Durgapur-4,
234476,SITANAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452276,1,Sitanagar-1,
234476,SITANAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452277,2,Sitanagar-2,
234476,SITANAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452278,3,Sitanagar-3,
234476,SITANAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452279,4,Sitanagar-4,
234476,SITANAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452280,5,Sitanagar-5,
234476,SITANAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452281,6,Sitanagar-6,
234476,SITANAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452282,7,Sitanagar-7,
234476,SITANAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452283,8,Krishnapuri,
234477,SUBASHGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452284,1,Subashgram-1,
234477,SUBASHGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452285,2,Subashgram-2,
234477,SUBASHGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452286,3,Subashgram-3,
234477,SUBASHGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452287,4,Subashgram-4,
234477,SUBASHGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452288,5,Subashgram-5,
234477,SUBASHGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452289,6,Diglipur-1,
234477,SUBASHGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452290,7,Diglipur-2,
234477,SUBASHGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452291,8,Diglipur-3,
234477,SUBASHGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452292,9,Diglipur-4,
234477,SUBASHGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452293,10,Diglipur-5,
234477,SUBASHGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452294,11,Diglipur-6,
234497,BASANTIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463301,1,Pareshnagar-1,
234497,BASANTIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463302,2,Pareshnagar-2,
234497,BASANTIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463303,3,Prafullanagar-1,
234497,BASANTIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463304,4,Prafullanagar-2,
234497,BASANTIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463305,5,Govindapur-1,
