Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name
252252,Pathanamthitta,76742,18,Pathanamthitta (M) - Ward No.18
252181,Chavakkad,77907,9,Muthuvattoor
272901,Kondotty,1295189,31,Mekkadu
259711,Nileshwar,1294309,10,VALLIKKUNNU
252208,Angamaly,75929,4,HEAD QUARTERS
252230,Muvattupuzha,1294779,24,SANGAMAM
252260,Thiruvananthapuram,2513209,81,THAMPANOOR
252157,Vatakara,49845,33,PANIKKOTTI
252218,Eloor,75973,15,Eloor (CT) - Ward No.817
272904,Tanur,1295353,25,Anchudi
272907,Mannarkad,1294471,12,Nadamalika
272915,Anthur,1294222,17,Thaliyil
252178,Chittur-Thathamangalam,75813,10,KIZHAKKATHARA
252259,Nedumangad,1294535,39,IRINCHIYAM
252171,Perinthalmanna,75772,27,J N ROAD
252248,Kayamkulam,76519,16,Kayamkulam (M) - Ward No.16
259708,Thrikkakara,1295120,21,PALACHUVADU
272908,Pandalam,1294714,5,Mangaram West
252211,Aluva,49287,3,DESAM KADAVU
252170,Malappuram,77568,27,PAITHINIPARAMBA
252169,Manjeri,1295249,49,KARUVAMBRAM
252172,Tirur,75783,11,MYLADIKKUNNU
272901,Kondotty,1295194,36,Nambolamkunnu
272910,Mananthavady,1294562,2,Pilakkavu
252171,Perinthalmanna,75768,23,MARUKAR PARAMBU
272899,Ramanattukara,1294894,31,Pallimethal
252181,Chavakkad,77922,24,Dwaraka Beach
252110,Kanhangad,76247,20,ARAYI KARTHIKA
252242,Cherthala,77753,2,Cherthala (M) - Ward No.2
272884,Sreekandapuram,1294184,9,Panniyal
252160,Kozhikode,1294925,70,Easthill
252173,Ponnani,76446,49,HOSPITAL
252208,Angamaly,75943,18,E COLONY
252159,koyilandy,56259,1,PATHIRIKKAD
252255,Kollam,55980,20,Mangad
252176,Palakkad,77583,52,OLAVAKKODE SOUTH
252218,Eloor,1295006,28,MADAPPATTU
252157,Vatakara,49831,19,KUNJANKUZHI
272909,Wadakkanchery,1293926,32,Athani
272891,Ettumanoor,1293874,21,Thellakathussery
272898,Mukkom,1294791,2,Thechiyadu
252224,Kalamassery,49488,5,NORTH KALAMASSERY
252260,Thiruvananthapuram,56376,22,Sasthamangalam
272911,Sulthanbathery,1294622,26,Manichira
259709,Kottakkal,1295222,23,AMAPARA
252224,Kalamassery,49603,31,PUTHIPPALLIPRAM
