Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name
249803,Dharmanagar Municipal Council,838744,8,Ward No.8
249805,Kumarghat Municipal Council,1138647,13,Ward No. 13
249785,Agartala Municipal Corporation,838659,27,Ward No.27
249803,Dharmanagar Municipal Council,838737,2,Ward No.2
261690,Bishalgarh Municipal Council,838722,11,Ward No.11
249784,Teliamura Municipal Council,68172,10,Ward No.10
249798,Belonia Municipal Council,1540,6,Ward No.6
249784,Teliamura Municipal Council,69175,3,Ward No.3
249785,Agartala Municipal Corporation,838646,35,Ward No.35
261689,Santirbazar Municipal Council,839139,11,Ward No.11
249796,Udaipur Municipal Council,1517,5,Ward No.5
273718,Kamalpur Nagar Panchayat,1216849,5,Ward No. 5
249802,Ambassa Municipal Council,379,7,Ward No.7
249783,Khowai Municipal Council,838768,14,Ward No.14
249786,Ranirbazar Municipal Council,1207175,12,Ward No.12
249785,Agartala Municipal Corporation,1199977,45,Ward No.45
249785,Agartala Municipal Corporation,37159,7,Ward No.7
261692,Mohanpur Municipal Council,838789,5,Ward No.5
249805,Kumarghat Municipal Council,1728,2,Ward No.2
261692,Mohanpur Municipal Council,838795,1,Ward No.1
261692,Mohanpur Municipal Council,838799,13,Ward No.13
249784,Teliamura Municipal Council,69173,1,Ward No.1
249786,Ranirbazar Municipal Council,69186,8,Ward No.8
249799,Sabroom Nagar Panchayat,69208,1,Ward No.1
249785,Agartala Municipal Corporation,1199974,42,Ward No.42
261691,Melaghar Municipal Council,838770,1,Ward No.1
249804,Kailashahar Municipal Council,69654,1,Ward No.1
249786,Ranirbazar Municipal Council,839120,11,Ward No.11
249803,Dharmanagar Municipal Council,838748,12,Ward No.12
249783,Khowai Municipal Council,1227,6,Ward No.6
249784,Teliamura Municipal Council,68169,7,Ward No.7
249783,Khowai Municipal Council,1230,9,Ward No.9
261691,Melaghar Municipal Council,838774,6,Ward No.6
261692,Mohanpur Municipal Council,838797,3,Ward No.3
249784,Teliamura Municipal Council,69174,2,Ward No.2
261687,Jirania Nagar Panchayat,839083,10,Ward No.10
249785,Agartala Municipal Corporation,1243,14,Ward No.14
273718,Kamalpur Nagar Panchayat,1216854,10,Ward No. 10
249802,Ambassa Municipal Council,383,11,Ward No.11
249786,Ranirbazar Municipal Council,69182,4,Ward No.4
249802,Ambassa Municipal Council,381,9,Ward No.9
249802,Ambassa Municipal Council,375,3,Ward No.3
249796,Udaipur Municipal Council,1518,6,Ward No.6
249802,Ambassa Municipal Council,98,2,Ward No.2
249803,Dharmanagar Municipal Council,838738,3,Ward No.3
261690,Bishalgarh Municipal Council,838729,10,Ward No.10
261691,Melaghar Municipal Council,838784,5,Ward No.5
249786,Ranirbazar Municipal Council,69187,9,Ward No.9
249785,Agartala Municipal Corporation,1240,11,Ward No.11
249803,Dharmanagar Municipal Council,838742,7,Ward No.7
261690,Bishalgarh Municipal Council,838720,8,Ward No.8
249785,Agartala Municipal Corporation,1241,12,Ward No.12
261690,Bishalgarh Municipal Council,838718,6,Ward No.6
249786,Ranirbazar Municipal Council,69185,7,Ward No.7
249799,Sabroom Nagar Panchayat,69209,2,Ward No.2
249798,Belonia Municipal Council,1537,3,Ward No.3
261690,Bishalgarh Municipal Council,838724,13,Ward No.13
261687,Jirania Nagar Panchayat,839082,9,Ward No.9
249796,Udaipur Municipal Council,838807,18,Ward No.18
249785,Agartala Municipal Corporation,1246,17,Ward No.17
249797,Amarpur Nagar Panchayat,1534,9,Ward No.9
273718,Kamalpur Nagar Panchayat,1216847,3,Ward No. 3
261691,Melaghar Municipal Council,838773,4,Ward No.4
